Player,Nation,Pos,Squad,Comp,Age,Born,LeagueRank,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Ederson,BRA,GK,Manchester City,Premier League,27,1993,1,38,29,6,3,99,26,73,93,2.45,88.5,27.1,61.3,1.61,52774,Kevin De Bruyne - 15,Ederson,37,37,3330,37,26,0.7,83,56,69.9,20,54.1,1,1,0,0,0,1,0,1,0,24.8,0.29,-1.2,-0.03,155,262,59.2,951,151,24,30,138,24.6,31.6,181,16,8.8,34,0.92,17.2
Alisson,BRA,GK,Liverpool,Premier League,28,1992,2,38,28,8,2,94,26,68,92,2.42,89.2,33.8,55.4,1.46,53352,Mohamed Salah - 23,Alisson,36,36,3240,36,24,0.67,97,73,75.3,20,55.6,0,0,0,0,,0,0,4,1,27.4,0.28,4.4,0.12,187,345,54.2,1189,195,22.5,29.9,171,45.6,40,221,21,9.5,63,1.75,18.1
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,35,1986,1,34,24,5,5,97,37,60,77,2.26,88.1,37.1,51,1.5,33176,Robert Lewandowski - 35,Manuel Neuer,28,28,2510,27.9,26,0.93,89,64,71.9,10,35.7,1,1,0,0,0,1,0,1,0,24.8,0.27,-1.2,-0.04,172,294,58.5,1072,158,25.2,30.7,166,14.5,27.5,191,12,6.3,41,1.47,19.8
Keylor Navas,CRC,GK,Paris S-G,Ligue 1,34,1986,1,38,26,8,4,90,36,54,86,2.26,76.5,38.6,37.9,1,41589,Kylian Mbappé - 28,Keylor Navas,21,21,1856,20.6,18,0.87,76,60,78.9,8,38.1,2,2,0,0,0,2,0,2,0,18.4,0.22,0.4,0.02,45,84,53.6,413,96,16.5,27,139,11.5,22.4,155,8,5.2,11,0.53,13.4
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,29,1992,1,38,26,8,4,80,31,49,86,2.26,74.4,46.8,27.6,0.73,41235,Karim Benzema - 27,Thibaut Courtois,36,36,3240,36,29,0.81,116,88,76.7,16,44.4,3,2,1,0,33.3,2,1,2,0,33.4,0.27,4.4,0.12,114,306,37.3,929,188,23.5,31.2,210,41.9,39.1,312,27,8.7,21,0.58,14.2
Mike Maignan,FRA,GK,Milan,Serie A,26,1995,1,38,26,8,4,69,31,38,86,2.26,63.1,34.8,28.3,0.74,44015,Olivier Giroud Rafael Leão - 11,Mike Maignan,32,32,2880,32,21,0.66,101,81,81.2,17,53.1,2,2,0,0,0,2,0,4,1,28,0.26,8,0.25,219,450,48.7,1002,154,38.3,36.7,148,44.6,40.7,211,26,12.3,26,0.81,15.3
Samir Handanović,SVN,GK,Inter,Serie A,37,1984,2,38,25,9,4,84,32,52,84,2.21,81.4,39.2,42.2,1.11,44473,Lautaro Martínez - 21,Samir Handanović,37,37,3330,37,30,0.81,121,94,78.5,15,40.5,4,4,0,0,0,4,0,3,1,31.6,0.24,2.6,0.07,206,382,53.9,1114,167,30.5,30.5,145,29,30.1,253,15,5.9,4,0.11,12.2
David Ospina,COL,GK,Napoli,Serie A,32,1988,3,38,24,7,7,74,31,43,79,2.08,59.4,31.9,27.6,0.73,28119,Victor Osimhen - 14,David Ospina,31,31,2790,31,25,0.81,104,81,76.9,13,41.9,1,1,0,0,0,1,0,3,1,29.2,0.28,5.2,0.17,131,289,45.3,854,122,30.2,31.8,142,21.8,25.9,208,17,8.2,19,0.61,14.9
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,23,1997,2,34,22,3,9,85,52,33,69,2.03,62.8,43.2,19.6,0.58,41800,Erling Haaland - 22,Gregor Kobel,29,29,2565,28.5,39,1.37,105,71,65.7,7,24.1,3,3,0,0,0,3,2,5,2,35.8,0.32,-1.2,-0.04,103,277,37.2,836,135,24.4,30.2,184,39.7,37.1,189,20,10.6,27,0.95,15.6
Edouard Mendy,SEN,GK,Chelsea,Premier League,29,1992,3,38,21,11,6,76,33,43,74,1.95,67.2,36,31.3,0.82,36443,Mason Mount - 11,Edouard Mendy,34,34,3060,34,31,0.91,95,70,73.7,14,41.2,6,6,0,0,0,6,0,1,1,29.6,0.26,-0.4,-0.01,114,248,46,763,129,24.8,28.7,176,33.5,30.3,243,19,7.8,19,0.56,13.8
Marc-André ter Stegen,GER,GK,Barcelona,La Liga,29,1992,2,38,21,10,7,68,38,30,73,1.92,62.1,36,26.1,0.69,53982,Memphis Depay - 12,Marc-André ter Stegen,35,35,3150,35,34,0.97,110,78,70.9,11,31.4,3,2,1,0,33.3,2,0,6,0,33.6,0.29,-0.4,-0.01,211,355,59.4,1076,148,25.9,29.8,204,37.3,34.8,216,14,6.5,10,0.29,13.2
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,31,1989,3,34,19,7,8,80,47,33,64,1.88,63.3,43.1,20.2,0.59,17356,Patrik Schick - 24,Lukáš Hrádecký,32,32,2880,32,44,1.37,153,110,72.5,8,25,4,2,1,1,33.3,2,2,7,0,45.4,0.29,1.4,0.04,189,466,40.6,1045,169,35.2,34.3,216,45.4,39.4,241,14,5.8,25,0.78,15.1
Hugo Lloris,FRA,GK,Tottenham,Premier League,34,1986,4,38,22,5,11,69,40,29,71,1.87,65,39.5,25.6,0.67,56523,Son Heung-min - 23,Hugo Lloris,38,38,3420,38,40,1.05,133,95,71.4,16,42.1,2,2,0,0,0,2,1,5,1,38.5,0.28,-0.5,-0.01,159,344,46.2,667,149,36.3,34.4,276,37,32.8,352,21,6,23,0.61,14.2
Pau López,ESP,GK,Marseille,Ligue 1,26,1994,2,38,21,8,9,63,38,25,71,1.87,59.3,40,19.3,0.51,51755,Dimitri Payet - 12,Pau López,29,29,2610,29,29,1,81,53,69.1,10,34.5,4,4,0,0,0,4,0,6,0,31.2,0.36,0.2,0.01,155,335,46.3,1162,142,23.4,29.3,163,38.7,36.6,171,27,15.8,29,1,16.6
Jan Oblak,SVN,GK,Atlético Madrid,La Liga,28,1993,3,38,21,8,9,65,43,22,71,1.87,52.8,33.7,19.1,0.5,48039,Ángel Correa - 12,Jan Oblak,38,38,3420,38,43,1.13,96,62,62.5,12,31.6,8,7,1,0,12.5,7,2,4,3,33.9,0.28,-6.1,-0.16,203,647,31.4,812,149,55.9,44.1,283,68.2,51.5,292,20,6.8,16,0.42,14
Yassine Bounou,MAR,GK,Sevilla,La Liga,30,1991,4,38,18,16,4,53,30,23,70,1.84,43.5,38.5,5,0.13,29756,Rafa Mir - 10,Yassine Bounou,31,31,2790,31,24,0.77,98,75,77.6,13,41.9,4,2,1,1,33.3,2,2,6,0,28.8,0.27,4.8,0.15,187,429,43.6,832,110,34.9,35.8,240,57.9,46.1,244,20,8.2,16,0.52,14.2
Wojciech Szczęsny,POL,GK,Juventus,Serie A,31,1990,4,38,20,10,8,57,37,20,70,1.84,51.5,38,13.4,0.35,22621,Paulo Dybala - 10,Wojciech Szczęsny,33,33,2970,33,29,0.88,101,75,74.3,12,36.4,6,3,3,0,50,3,2,5,0,32.1,0.28,3.1,0.09,170,342,49.7,838,149,33.4,34,177,35,33.3,315,21,6.7,14,0.42,13
Alexander Nübel,GER,GK,Monaco,Ligue 1,24,1996,3,38,20,9,9,65,40,25,69,1.82,57.8,42,15.9,0.42,5877,Wissam Ben Yedder - 25,Alexander Nübel,38,38,3420,38,40,1.05,135,106,76.3,11,28.9,9,8,0,1,0,8,0,6,3,43.2,0.27,6.2,0.16,197,472,41.7,846,164,37.5,35.9,278,55.8,46,275,10,3.6,20,0.53,14.7
Aaron Ramsdale,ENG,GK,Arsenal,Premier League,23,1998,5,38,22,3,13,61,48,13,69,1.82,59.8,47,12.9,0.34,59665,Bukayo Saka - 11,Aaron Ramsdale,34,34,3060,34,39,1.15,122,84,72.1,12,35.3,6,5,0,1,0,5,0,3,1,33.7,0.24,-4.3,-0.13,176,521,33.8,964,157,39.6,37,192,72.4,57.2,260,21,8.1,35,1.03,16
Alfred Gomis,SEN,GK,Rennes,Ligue 1,27,1993,4,38,20,6,12,82,40,42,66,1.74,62.3,40.7,21.6,0.57,25493,Martin Terrier - 21,Alfred Gomis,25,25,2250,25,25,1,62,40,66.1,10,40,4,4,0,0,0,4,0,4,1,22.9,0.33,-1.1,-0.04,155,333,46.5,630,115,36.2,34.4,151,69.5,51.9,239,16,6.7,16,0.64,14.7
Walter Benítez,ARG,GK,Nice,Ligue 1,28,1993,5,38,20,7,11,52,36,16,66,1.74,57,45.2,11.8,0.31,16055,Andy Delort - 16,Walter Benítez,37,37,3330,37,35,0.95,138,107,77.5,14,37.8,5,4,1,0,20,4,1,1,0,39.8,0.26,4.8,0.13,172,423,40.7,771,162,35.7,33.9,260,56.9,44.7,313,15,4.8,22,0.59,14.2
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,31,1990,4,34,17,7,10,72,37,35,58,1.71,63.4,41.8,21.6,0.64,22124,Christopher Nkunku - 20,Péter Gulácsi,33,33,2967,33,34,1.03,107,77,71,10,30.3,3,3,0,0,0,3,0,6,1,34.6,0.31,1.6,0.05,154,371,41.5,973,155,30.1,32.3,199,39.2,35.9,223,8,3.6,43,1.3,17.9
Rui Silva,POR,GK,Betis,La Liga,27,1994,5,38,19,8,11,62,40,22,65,1.71,55.2,44.3,10.9,0.29,41749,Juanmi - 16,Rui Silva,22,21,1964,21.8,21,0.96,72,52,73.6,8,38.1,2,2,0,0,0,2,0,3,0,22,0.28,1,0.04,130,323,40.2,548,92,41.6,37,176,54,44.6,207,11,5.3,20,0.92,14.1
Thomas Strakosha,ALB,GK,Lazio,Serie A,26,1995,5,38,18,10,10,77,58,19,64,1.68,55.8,48.3,7.6,0.2,23263,Ciro Immobile - 27,Thomas Strakosha,23,23,2070,23,29,1.26,87,58,67.8,7,30.4,1,1,0,0,0,1,1,4,1,27.1,0.3,-0.9,-0.04,108,213,50.7,610,89,30.2,30.9,121,24,25.5,182,9,4.9,7,0.3,15
Andreas Luthe,GER,GK,Union Berlin,Bundesliga,34,1987,5,34,16,9,9,50,44,6,57,1.68,50.5,41.6,8.8,0.26,14046,Taiwo Awoniyi - 15,Andreas Luthe,27,27,2430,27,39,1.44,105,70,64.8,6,22.2,2,2,0,0,0,2,0,5,3,33.8,0.31,-2.2,-0.08,184,516,35.7,779,115,48.5,40.3,219,63,46.4,243,16,6.6,16,0.59,13.6
Matz Sels,BEL,GK,Strasbourg,Ligue 1,29,1992,6,38,17,12,9,60,43,17,63,1.66,59.3,42.6,16.8,0.44,23555,Ludovic Ajorque - 12,Matz Sels,37,37,3330,37,43,1.16,125,86,68.8,13,35.1,4,4,0,0,0,4,0,5,1,39.6,0.3,-2.4,-0.06,192,441,43.5,718,139,44.7,37.7,236,50.8,43.1,280,22,7.9,23,0.62,14.4
Rui Patrício,POR,GK,Roma,Serie A,33,1988,6,38,18,9,11,59,43,16,63,1.66,63.7,38.5,25.2,0.66,41929,Tammy Abraham - 17,Rui Patrício,38,38,3420,38,43,1.13,141,103,73,15,39.5,6,5,1,0,16.7,5,1,5,2,39.6,0.24,-1.4,-0.04,204,442,46.2,850,138,42.1,36.7,221,38,35,245,5,2,18,0.47,13.2
Jean-Louis Leca,FRA,GK,Lens,Ligue 1,35,1985,7,38,17,11,10,62,48,14,62,1.63,52.7,41.9,10.8,0.28,28950,Arnaud Kalimuendo - 12,Jean-Louis Leca,27,27,2313,25.7,33,1.28,94,64,68.1,5,18.5,4,3,1,0,25,3,1,2,0,30.2,0.29,-2.8,-0.11,119,282,42.2,536,131,37.9,34.7,197,40.1,35.7,210,23,11,16,0.62,13.6
Pietro Terracciano,ITA,GK,Fiorentina,Serie A,31,1990,7,38,19,5,14,59,51,8,62,1.63,58.8,44.1,14.7,0.39,21107,Dušan Vlahović - 17,Pietro Terracciano,32,31,2862,31.8,43,1.35,95,56,56.8,9,29,3,2,1,0,33.3,2,0,3,2,35.4,0.35,-5.6,-0.18,279,557,50.1,1353,137,36.1,35.6,170,40,35.8,187,18,9.6,28,0.88,15.7
Álex Remiro,ESP,GK,Real Sociedad,La Liga,26,1995,6,38,17,11,10,40,37,3,62,1.63,53.8,39.7,14.1,0.37,26813,Mikel Oyarzabal - 9,Álex Remiro,35,35,3150,35,32,0.91,107,77,73.8,19,54.3,5,4,1,0,20,4,1,5,0,34.6,0.28,2.6,0.08,261,547,47.7,1009,118,40.2,36.3,242,58.3,47.8,305,22,7.2,37,1.06,15.8
Mark Flekken,NED,GK,Freiburg,Bundesliga,28,1993,6,34,15,10,9,58,46,12,55,1.62,49.9,45.1,4.8,0.14,18741,Vincenzo Grifo - 9,Mark Flekken,32,32,2880,32,39,1.22,140,103,73.6,10,31.3,2,2,0,0,0,2,1,3,1,38.4,0.27,0.4,0.01,291,698,41.7,1094,116,47,42.6,241,76.3,62.8,290,18,6.2,30,0.94,15.7
Anthony Lopes,POR,GK,Lyon,Ligue 1,30,1990,8,38,17,11,10,66,51,15,61,1.61,70.4,54.4,16,0.42,32329,Moussa Dembélé - 21,Anthony Lopes,34,34,2982,33.1,45,1.36,146,106,71.2,8,23.5,4,3,1,0,25,3,1,8,3,40.7,0.26,-1.3,-0.04,165,334,49.4,907,150,29.2,32.1,220,31.4,33.4,245,11,4.5,23,0.69,15.1
Gerónimo Rulli,ARG,GK,Villarreal,La Liga,29,1992,7,38,16,11,11,63,37,26,59,1.55,62.6,46.5,16.1,0.42,14293,Arnaut Groeneveld - 10,Gerónimo Rulli,32,32,2880,32,28,0.87,97,70,74.2,14,43.8,4,3,1,0,25,3,0,3,1,28.4,0.27,1.4,0.04,170,389,43.7,1072,161,27.7,33.8,209,44,40.5,306,27,8.8,31,0.97,15.5
Juan Musso,ARG,GK,Atalanta,Serie A,27,1994,8,38,16,11,11,65,48,17,59,1.55,66,45.3,20.7,0.55,10447,Mario Pašalić - 13,Juan Musso,33,33,2932,32.6,42,1.29,116,79,66.4,8,24.2,4,3,0,1,0,3,0,2,3,35,0.28,-4,-0.12,173,396,43.7,742,167,33,34.1,209,72.2,52.4,214,23,10.7,29,0.89,16
Marvin Schwäbe,GER,GK,Köln,Bundesliga,26,1995,7,34,14,10,10,52,49,3,52,1.53,50.9,51.9,-1.1,-0.03,31965,Anthony Modeste - 20,Marvin Schwäbe,21,21,1890,21,28,1.33,96,68,70.8,3,14.3,1,0,1,0,100,0,2,3,1,27.1,0.27,0.1,0,141,297,47.5,848,86,28.2,31.7,146,39.7,37.7,145,8,5.5,12,0.57,14
David de Gea,ESP,GK,Manchester Utd,Premier League,30,1990,6,38,16,10,12,57,57,0,58,1.53,54.8,54.5,0.3,0.01,73150,Cristiano Ronaldo - 18,David de Gea,38,38,3420,38,57,1.5,177,124,69.5,8,21.1,6,3,3,0,50,3,0,7,3,60.7,0.33,6.7,0.18,139,379,36.7,614,124,37,35.2,297,51.2,42.4,306,10,3.3,9,0.24,13.6
Łukasz Fabiański,POL,GK,West Ham,Premier League,36,1985,7,38,16,8,14,60,51,9,56,1.47,49.6,50.7,-1,-0.03,58370,Jarrod Bowen - 12,Łukasz Fabiański,37,37,3330,37,50,1.35,156,105,69.2,8,21.6,6,2,3,1,60,2,1,11,2,52.8,0.32,4.8,0.13,241,602,40,726,145,55.8,44.1,280,70.4,52.9,344,14,4.1,9,0.24,11.8
Alban Lafont,FRA,GK,Nantes,Ligue 1,22,1999,9,38,15,10,13,55,48,7,55,1.45,43.9,55.4,-11.5,-0.3,20803,Randal Kolo Muani - 12,Alban Lafont,38,38,3420,38,48,1.26,150,106,70.7,8,21.1,7,4,3,0,42.9,4,0,7,1,46,0.27,-1,-0.03,220,633,34.8,828,136,48.7,42.9,286,80.4,58,289,23,8,28,0.74,15.2
Unai Simón,ESP,GK,Athletic Club,La Liga,24,1997,8,38,14,13,11,43,36,7,55,1.45,50.1,38.2,12,0.32,32949,Iñaki Williams - 8,Unai Simón,34,34,3060,34,31,0.91,106,74,73.6,12,35.3,3,3,0,0,0,3,0,2,1,29.9,0.26,-0.1,0,179,416,43,691,181,42.3,37.4,242,51.2,44,372,23,6.2,23,0.68,15.2
Ivo Grbić,CRO,GK,Lille,Ligue 1,25,1996,10,38,14,13,11,48,48,0,55,1.45,52.4,40.4,12.1,0.32,34346,Jonathan David - 15,Ivo Grbić,21,21,1890,21,28,1.33,88,63,70.5,2,9.5,2,2,0,0,0,2,1,6,1,27.2,0.29,0.2,0.01,110,287,38.3,419,85,44.6,38.7,164,61,46.2,203,21,10.3,13,0.62,14.5
Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,25,1996,9,38,14,11,13,65,59,6,53,1.39,51.8,48.9,2.9,0.08,13894,Giovanni Simeone - 17,Lorenzo Montipò,34,34,3060,34,50,1.47,135,85,64.4,4,11.8,3,2,1,0,33.3,2,1,7,2,43.3,0.3,-4.7,-0.14,230,640,35.9,748,120,64.3,46.9,232,68.5,49.3,311,16,5.1,13,0.38,13.4
Kasper Schmeichel,DEN,GK,Leicester City,Premier League,34,1986,8,38,14,10,14,62,59,3,52,1.37,50.8,61,-10.1,-0.27,32493,Jamie Vardy - 15,Kasper Schmeichel,37,37,3330,37,58,1.57,176,125,71,7,18.9,10,7,2,1,22.2,7,1,15,1,56.3,0.29,-0.7,-0.02,256,588,43.5,962,149,45.7,38.9,291,50.9,43.7,278,19,6.8,16,0.43,12.5
Robin Zentner,GER,GK,Mainz 05,Bundesliga,26,1994,8,34,13,7,14,50,45,5,46,1.35,51,46,5,0.15,17978,Jonathan Burkardt - 11,Robin Zentner,32,32,2880,32,42,1.31,115,78,67,10,31.3,5,4,1,0,20,4,0,4,1,39.4,0.31,-1.6,-0.05,147,431,34.1,762,166,41.3,38.1,235,49.4,43.3,252,23,9.1,48,1.5,17.2
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,31,1990,9,34,13,7,14,58,60,-2,46,1.35,55.1,52.5,2.5,0.07,11227,Georginio Rutter - 8,Oliver Baumann,33,33,2970,33,57,1.73,154,100,64.3,8,24.2,4,2,1,1,33.3,2,0,9,1,54.2,0.34,-1.8,-0.05,168,453,37.1,1310,170,30.2,32.4,211,27.5,30.4,273,25,9.2,43,1.3,15.9
Robert Sánchez,ESP,GK,Brighton,Premier League,23,1997,9,38,12,15,11,42,44,-2,51,1.34,46,45.4,0.5,0.01,30966,Leandro Trossard Neal Maupay - 8,Robert Sánchez,37,37,3329,37,42,1.14,140,100,72.1,11,29.7,4,3,0,1,0,3,1,5,0,43.2,0.29,1.2,0.03,196,618,31.7,1269,163,36.2,37.6,231,68.8,54.1,317,37,11.7,30,0.81,13.9
José Sá,POR,GK,Wolves,Premier League,28,1993,10,38,15,6,17,38,43,-5,51,1.34,35.9,60.3,-24.4,-0.64,30841,Raúl Jiménez - 6,José Sá,37,37,3285,36.5,40,1.1,150,120,79.3,11,29.7,10,9,0,1,0,9,1,1,1,48.2,0.27,9.2,0.25,166,486,34.2,830,197,42.7,39.3,259,51,42.7,315,34,10.8,40,1.1,15.3
Vanja Milinković-Savić,SRB,GK,Torino,Serie A,24,1997,10,38,13,11,14,46,41,5,50,1.32,48.8,39.7,9.1,0.24,9846,Andrea Belotti - 8,Vanja Milinković-Savić,27,27,2430,27,33,1.22,73,47,64.4,4,14.8,8,7,1,0,12.5,7,2,4,0,28.1,0.29,-4.9,-0.18,224,701,32,860,96,63.4,50.9,171,91.2,70.7,150,10,6.7,15,0.56,14.1
Andrea Consigli,ITA,GK,Sassuolo,Serie A,34,1987,11,38,13,11,14,64,66,-2,50,1.32,55.8,66.9,-11,-0.29,8362,Gianluca Scamacca - 16,Andrea Consigli,37,37,3322,36.9,63,1.71,159,103,65.4,3,8.1,9,8,1,0,11.1,8,0,10,1,61.7,0.34,-0.3,-0.01,259,543,47.7,1214,159,37,34.5,252,37.3,31.7,331,20,6,23,0.62,13.3
